hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,cbd_congestion_fee,pu_x,pu_y,do_x,do_y
HV0003,B03404,B03404,2025-07-03 18:17:24,2025-07-03 18:23:51,2025-07-03 18:23:55,2025-07-03 18:35:15,209,66,1.91,680,18.21,0.0,0.42,1.6,2.75,0.0,0.0,9.55,N,N,N,N,N,1.5,982600.3160790808,196808.93762237165,987783.167622727,195279.11165325777
HV0003,B03404,B03404,2025-07-03 18:00:24,2025-07-03 18:01:24,2025-07-03 18:02:47,2025-07-03 18:14:52,66,87,2.99,725,35.98,0.0,0.86,3.19,2.75,0.0,0.0,19.5,N,N,N,N,N,1.5,988319.3307737616,195164.97652673465,982756.0308433116,197089.04516981795
HV0005,B03406,,2025-07-03 18:04:51,2025-07-03 18:07:24,2025-07-03 18:08:24,2025-07-03 18:19:12,66,25,1.209,648,10.89,0.0,0.24,0.86,0.0,0.0,0.0,8.75,N,N,N,N,Y,0.0,987937.3895443934,194894.935369754,988160.0385096284,189219.180189726
HV0003,B03404,B03404,2025-07-03 18:43:47,2025-07-03 18:47:20,2025-07-03 18:47:33,2025-07-03 18:55:58,65,33,1.0,505,15.18,0.0,0.38,1.34,0.0,0.0,0.0,7.64,N,N,N,N,N,0.0,988302.6202663996,193302.22162684464,987147.6940246972,192318.9048404363
HV0003,B03404,B03404,2025-07-03 18:53:58,2025-07-03 18:55:56,2025-07-03 18:56:28,2025-07-03 19:05:03,33,65,1.38,515,11.83,0.0,0.29,1.04,0.0,0.0,0.0,7.13,N,N,N,N,N,0.0,985177.067107928,192818.9439181077,987513.7358494304,192175.30300282905
HV0003,B03404,B03404,2025-07-03 18:10:31,2025-07-03 18:11:59,2025-07-03 18:14:01,2025-07-03 18:29:31,88,45,2.0,931,17.92,0.0,0.41,1.59,2.75,0.0,2.69,12.22,N,N,N,N,N,1.5,981536.3994020028,195140.86775490135,985866.9007204516,199244.81103106675
HV0005,B03406,,2025-07-03 18:38:14,2025-07-03 18:46:03,2025-07-03 18:46:07,2025-07-03 18:57:00,25,33,1.706,653,13.33,0.0,0.33,1.18,0.0,0.0,0.0,9.03,N,N,N,N,N,0.0,987445.5736824782,189155.8286973828,985037.717624366,192517.2363273546
HV0003,B03404,B03404,2025-07-03 18:34:46,2025-07-03 18:36:01,2025-07-03 18:36:44,2025-07-03 18:53:33,87,65,4.01,1008,27.77,0.0,0.66,2.46,2.75,0.0,0.0,16.5,N,N,N,N,N,1.5,982187.5002393024,197063.48292479804,987557.0251903016,192680.9110662506
HV0005,B03406,,2025-07-03 18:46:17,2025-07-03 18:52:49,2025-07-03 18:53:02,2025-07-03 19:05:42,87,66,2.219,760,14.14,0.0,0.35,1.25,2.75,0.0,0.0,10.84,N,N,N,N,N,1.5,981578.2846626698,196790.92599263063,988487.0036871904,195239.49560136427
HV0003,B03404,B03404,2025-07-03 18:25:49,2025-07-03 18:33:41,2025-07-03 18:33:51,2025-07-03 18:56:43,66,65,1.94,1372,8.77,0.0,0.22,0.77,0.0,0.0,0.0,12.94,Y,Y,N,N,N,0.0,988854.6105344858,194540.12784717488,988002.104690451,192794.5954716968
